City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bandarbeyla,9.4942,50.8122,81.27,88,46,4.32,SO,1651716440
Barrow,71.2906,-156.7887,15.82,79,100,14.97,US,1651716458
Albany,42.6001,-73.9662,54.52,92,98,4.52,US,1651716349
Ixtapa,20.7,-105.2,77.23,78,75,8.05,MX,1651716458
Corrente,-3.7367,-43.3394,72.68,98,100,2.75,BR,1651716459
Faanui,-16.4833,-151.75,81.73,75,31,10.71,PF,1651716297
Tasiilaq,65.6145,-37.6368,23.16,81,70,5.06,GL,1651716459
Mossamedes,-15.1961,12.1522,78.17,61,1,2.35,AO,1651716460
Norman Wells,65.282,-126.8329,37.44,87,100,9.22,CA,1651716460
Sitka,57.0531,-135.33,44.49,70,100,9.22,US,1651716461
Hilo,19.7297,-155.09,78.28,93,100,5.01,US,1651716294
Lüderitz,-26.6481,15.1594,67.93,47,0,3.29,NA,1651716461
Rikitea,-23.1203,-134.9692,77.63,84,71,19.95,PF,1651716462
Wenzhou,27.9994,120.6668,73.45,55,100,3.18,CN,1651716464
Kapaa,22.0752,-159.319,82.38,77,40,14.97,US,1651716277
Saint-François,46.4154,3.9054,51.24,87,100,4.61,FR,1651716443
Mâncio Lima,-7.6142,-72.8958,67.51,97,91,2.42,BR,1651716464
Saskylakh,71.9167,114.0833,27.57,90,100,6.58,RU,1651716396
Ushuaia,-54.8,-68.3,38.86,75,20,6.91,AR,1651716465
Marrakesh,31.6315,-8.0083,60.87,72,0,8.05,MA,1651716210
Saint-Philippe,-21.3585,55.7679,74.79,86,41,14.32,RE,1651716465
Chara,56.9064,118.2631,33.01,51,97,3.76,RU,1651716466
Roald,62.5833,6.1333,46.33,87,75,23.02,NO,1651716466
Upernavik,72.7868,-56.1549,2.52,94,7,6.33,GL,1651716467
Atuona,-9.8,-139.0333,79.18,74,10,15.59,PF,1651716467
Muncar,-8.4333,114.3333,83.03,77,92,4.07,ID,1651716468
Turka,49.1541,23.0297,41.16,92,17,2.93,UA,1651716468
East London,-33.0153,27.9116,64.11,80,17,4.03,ZA,1651716468
Lompoc,34.6391,-120.4579,71.78,87,20,10.36,US,1651716304
Punta Arenas,-53.15,-70.9167,41.11,87,75,14.97,CL,1651716469
Moi,58.4567,6.5518,46.38,98,100,1.92,NO,1651716469
Mataura,-46.1927,168.8643,63.48,53,53,2.86,NZ,1651716268
Puerto Ayora,-0.7393,-90.3518,73.27,91,46,4.74,EC,1651716470
San Patricio,28.017,-97.5169,81.9,87,100,15.39,US,1651716470
Hegra,63.4644,11.114,42.71,87,100,4.61,NO,1651716471
Busselton,-33.65,115.3333,59.11,49,0,16.37,AU,1651716471
